group,case,n,request_bytes,response_bytes,items,curl_peak,tls_peak,physical_peak,cold_physical,retained_idle_physical,loaded_physical,curl_after_transfer,curl_after_easy_cleanup,curl_serviced_cache,tls_serviced_cache,cache_fds_including_captures,max_fds,application_record_bytes,completed_scratch_bytes,transfer_seconds,connections_created,max_socket_readable
followup-results,h2-upload16k-small,1000,1024,65536,1,36670621,710454,42747200,1720960,26363200,42599744,30883284,10612431,10612431,673471,1008,2008,48000,66560000,0.7315800000000001,1,4192278
followup-results,h2-upload16k-large,100,1048576,65536,1,8671747,710454,12682432,1475200,12682432,12584128,8606306,6579353,6579353,673487,108,208,4800,111411200,1.122195,1,1427864
repeat-results,h1-cache16-rep1,1000,1024,65536,1,71150285,143147689,257017600,1458752,57804544,100714112,69509564,127063,67948,2641936,1023,3007,48000,66560000,1.9689470000000002,1000,65712
repeat-results,h1-request1048576-items1-rep1,100,1048576,65536,1,7141680,16060211,33719872,1671808,27330112,27067968,6995712,57996,57996,2635826,123,307,4800,111411200,0.8367930000000001,100,65712
repeat-results,h2-cache16-rep1,1000,1024,65536,1,85822655,710454,107677184,1458752,19662336,107513344,80035318,10612465,10612465,673487,1008,2008,48000,66560000,0.6871499999999999,1,4012511
repeat-results,h2-request1048576-items1-rep1,100,1048576,65536,1,13669387,710454,19268864,1475200,12748032,19186944,13603626,6661473,6661473,673487,108,208,4800,111411200,0.9094260000000001,1,1357332
repeat-results,h2-pause-16777216-rep1,8,1024,16777216,1,67615648,710454,55231808,1540736,21431616,4260928,644672,89411,89411,673471,16,24,384,134225920,0.87254,1,1559763
repeat-results,h2-control-16777216-rep1,8,1024,16777216,1,649952,710454,4490432,1458752,4490432,4342976,644672,89411,89411,673487,16,24,384,134225920,0.648997,1,952049
repeat-results,h1-upload16k-small-rep1,1000,1024,65536,1,21998286,155603411,191449088,1475200,59656064,127862720,21499005,1302608,67949,2635826,1023,3007,48000,66560000,1.571246,1000,65712
repeat-results,h1-upload16k-large-rep1,100,1048576,65536,1,2226480,16060211,25134592,1524288,23709184,20530688,2114954,93467,57998,2635826,123,307,4800,111411200,0.577496,100,65712
repeat-results,h2-upload16k-small-rep1,1000,1024,65536,1,36670638,710454,42648896,1458752,34325824,42435904,30883301,10612448,10612448,673487,1008,2008,48000,66560000,0.699565,1,4091843
repeat-results,h2-upload16k-large-rep1,100,1048576,65536,1,8704595,710454,12731520,1557120,12731520,12633216,8639154,6612201,6612201,673487,108,208,4800,111411200,0.912998,1,1683972
repeat-results,h1-cache16-rep2,1000,1024,65536,1,71150284,155603411,270665344,1458752,65701504,127682048,70624764,1275583,67948,2635826,1023,3007,48000,66560000,1.518599,1000,65712
repeat-results,h1-request1048576-items1-rep2,100,1048576,65536,1,7141680,16060211,32621824,1458752,21644544,26903808,7035072,98532,57996,2635826,123,307,4800,111411200,0.5642180000000001,100,49232
repeat-results,h2-cache16-rep2,1000,1024,65536,1,85822655,710454,107529536,1475200,30459200,107332928,80035318,10612465,10612465,673487,1008,2008,48000,66560000,0.7154290000000001,1,4184103
repeat-results,h2-request1048576-items1-rep2,100,1048576,65536,1,13669370,710454,19137664,1458752,12633216,19055744,13603609,6661456,6661456,673471,108,208,4800,111411200,0.9497959999999999,1,1367656
repeat-results,h2-pause-16777216-rep2,8,1024,16777216,1,67615665,710454,54576576,1540736,21267904,4113408,644689,89428,89428,673487,16,24,384,134225920,0.8587480000000001,1,1493823
repeat-results,h2-control-16777216-rep2,8,1024,16777216,1,649935,710454,4293632,1655424,4293632,4228096,644655,89394,89394,673471,16,24,384,134225920,0.631019,1,755305
repeat-results,h1-upload16k-small-rep2,1000,1024,65536,1,21998285,155603411,201082752,1458752,65685376,127764224,20618325,395615,67949,2635826,1023,3007,48000,66560000,1.839645,1000,65712
repeat-results,h1-upload16k-large-rep2,100,1048576,65536,1,2226480,16060211,25757056,1458752,25150848,19940736,2087073,64753,57997,2635826,123,307,4800,111411200,0.5780730000000001,100,65712
repeat-results,h2-upload16k-small-rep2,1000,1024,65536,1,36670655,710454,43156928,1475200,17663424,42878400,30883318,10612465,10612465,673487,1008,2008,48000,66560000,0.69149,1,4186840
repeat-results,h2-upload16k-large-rep2,100,1048576,65536,1,8688154,710454,12649600,1458752,12649600,12502144,8622713,6595760,6595760,673471,108,208,4800,111411200,0.8947780000000001,1,1490527
repeat-results,h1-cache16-rep3,1000,1024,65536,1,71150285,155603411,274302848,1606272,63899520,127764096,69619445,240227,67949,2635826,1023,3007,48000,66560000,2.146826,1000,65712
repeat-results,h1-request1048576-items1-rep3,100,1048576,65536,1,7141680,16060211,33965440,1458752,23659904,27673984,7013752,76575,57996,2635826,123,307,4800,111411200,0.561271,100,65712
repeat-results,h2-cache16-rep3,1000,1024,65536,1,85822638,710454,107677056,1458752,31409536,107496832,80035301,10612448,10612448,673487,1008,2008,48000,66560000,0.698236,1,4187772
repeat-results,h2-request1048576-items1-rep3,100,1048576,65536,1,13669387,710454,19203328,1458752,15353088,19121408,13603626,6661473,6661473,673487,108,208,4800,111411200,0.928312,1,1376255
repeat-results,h2-pause-16777216-rep3,8,1024,16777216,1,67615630,710454,54527296,1524288,21218624,4195328,644654,89393,89393,673471,16,24,384,134225920,0.8581259999999999,1,1214955
repeat-results,h2-control-16777216-rep3,8,1024,16777216,1,649935,710454,4047744,1458752,4047744,3867456,644655,89394,89394,673471,16,24,384,134225920,0.6177199999999999,1,952049
repeat-results,h1-upload16k-small-rep3,1000,1024,65536,1,21998286,144711927,174983040,1475200,61196032,100812480,21197245,991832,67949,2635970,1023,3007,48000,66560000,1.510311,1000,65712
repeat-results,h1-upload16k-large-rep3,100,1048576,65536,1,2226480,16060211,25937152,1458752,22185216,19498240,2218273,199873,57997,2635826,123,307,4800,111411200,0.554882,100,16420
repeat-results,h2-upload16k-small-rep3,1000,1024,65536,1,36670638,710454,42730688,1458752,17597632,42452160,30883301,10612448,10612448,673487,1008,2008,48000,66560000,0.654738,1,3037105
repeat-results,h2-upload16k-large-rep3,100,1048576,65536,1,8655306,710454,12485632,1458752,12485632,12338176,8589865,6562912,6562912,673471,108,208,4800,111411200,0.8406149999999999,1,1488239
sanitizer-results,h1-n1,1,1024,65536,1,102462,710459,30194944,22144768,30194944,29981952,102203,32848,32848,673496,9,10,48,66560,0.31459899999999996,1,0
sanitizer-results,h2-n1,1,1024,65536,1,159592,710454,30244160,22193920,30244160,30080320,158871,89527,89527,673471,9,10,48,66560,0.316532,1,0
sanitizer-results,h1-sink-error,8,1024,65536,1,602398,1795795,35749184,22112000,35749184,35093824,598976,43863,43863,1458428,22,31,384,466944,0.32294500000000004,8,49218
sanitizer-results,h2-pause-16777216,8,1024,16777216,1,67615985,710454,183893696,22210304,183893696,30899520,645009,89596,89596,673487,16,24,384,134225920,0.873074,1,2117898
sanitizer-results,h2-sink-error,8,1024,65536,1,650262,710454,31063296,22210304,31063296,30850304,645206,89593,89593,673487,16,24,384,466944,0.318668,1,115094
