group,case,payload,warm,rate,receive_buffer,host_cap,local_stream_cap,server_stream_cap,known_length,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_live_sample_max,tls_live_sample_max,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/adjustment-slow-results,h2-unknown-baseline-slow,393216,0,0,16384,1,1000,1000,0,0,1000,2,2,1000,0,16,16,36.204629,393216000,10.35779154096566,1811,0.366,9.283,33.593,0.716,33.791000000000004,5.308,34.96,262144,291653356,673487,291816674,710454,326223936,46532608,10612459,673487,9,1,0,1,6.574,4.012,14.740901999999998,0.40715517344481006
research/transport-memory/adjustment-slow-results,h2-unknown-rate32k-slow,393216,0,32768,16384,1,1000,1000,0,0,1000,2,2,1000,0,16,16,34.855618,393216000,10.758667368915967,1743,0.235,4.105,14.99,0.102,13.118,2.233,13.91,262144,96576463,673471,96592927,710454,125568576,69224064,10612442,673471,9,1,0,1,5.81,3.596,17.818455,0.5112075476613268
research/transport-memory/adjustment-slow-results,h2-unknown-rate128k-slow,393216,0,131072,16384,1,1000,1000,0,0,1000,2,2,1000,0,16,16,35.542905,393216000,10.55062888078507,1777,0.251,5.628,23.2,0.9129999999999999,13.564,1.012,20.649,262144,259466159,673471,259665559,710454,303827008,61950080,10612442,673471,9,1,0,1,5.916,3.511,14.857955,0.41802871768641314
research/transport-memory/adjustment-slow-results,h2-unknown-reuse1,65536,0,131072,16384,10,100,100,0,0,1000,2,2,100,0,16,1,0.85316,65536000,73.25706784190538,42,0.81,1.49,13.758,0.041,3.323,0.6920000000000001,1.663,262144,102953069,1877651,103566796,1912244,123569728,52954688,708978,676598,9,10,9,1,48.9919,5.177899999999999,0.8729530000000001,1.0231996343007175
research/transport-memory/adjustment-slow-results,h2-unknown-reuse1,65536,0,131072,16384,10,100,100,0,1,1000,2,2,100,0,16,1,0.857692,65536000,72.869981298648,43,1.035,1.409,14.003,0.020999999999999998,3.8600000000000003,0.165,0.727,262144,106463518,1880706,106861422,1915299,123569728,44385920,708995,676598,9,9,9,0,47.05855555555556,5.476,0.8827380000000002,1.0292016248256952
research/transport-memory/adjustment-slow-results,h2-unknown-reuse1,65536,0,131072,16384,10,100,100,0,2,1000,2,2,100,0,16,1,0.85921,65536000,72.7412390451694,43,1.248,3.257,13.994,0.025,3.585,0.416,2.9160000000000004,262144,105582127,1880658,105602928,1915267,123569728,59803328,708961,676618,9,9,9,0,46.754,5.601,0.8855569999999999,1.0306642148019691
research/transport-memory/adjustment-slow-results,h2-unknown-reuse10,65536,0,131072,16384,10,100,100,0,0,1000,2,2,100,0,16,10,0.879088,65536000,71.09640900569681,44,1.307,3.083,13.929,0.034,3.372,0.125,1.9719999999999998,262144,110860856,1877687,110973109,1912296,125109824,54429248,6722148,1877687,18,10,9,1,49.3708,5.1141000000000005,0.901905,1.0259553082285278
research/transport-memory/adjustment-slow-results,h2-unknown-reuse10,65536,0,131072,16384,10,100,100,0,1,1000,2,2,100,0,16,10,0.851963,65536000,73.3599933330438,42,0.971,7.185,11.851,0.016,19.266,0.275,1.284,262144,107812936,1877687,109679608,1877807,125109824,63080000,8003220,1877687,18,0,0,0,0.0,0.0,0.8664999999999998,1.0170629475693191
research/transport-memory/adjustment-slow-results,h2-unknown-reuse10,65536,0,131072,16384,10,100,100,0,2,1000,2,2,100,0,16,10,0.842884,65536000,74.15017962139511,42,1.478,5.393,14.23,0.020999999999999998,17.836000000000002,0.213,1.0939999999999999,262144,118327872,1877687,118482776,1877807,125109824,60573248,8660180,1877687,18,0,0,0,0.0,0.0,0.8598819999999998,1.0201664760512714
