group,case,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/capture-results,h2-callback-slow,0,1000,2,0,1000,0,16,16,11.341273,65536000,5.51084521111519,566,2580.706,2845.326,17.891,26.511,2869.8179999999998,0.0,26.511,0,36661470,710454,42976512,38323456,10612380,673471,9,1,0,1,6.721,4.34,0.706163,0.06226487978906777
research/transport-memory/capture-results,h2-callback-stall,0,100,2,0,0,3000,16,16,3.137253,6553600,1.9921887077644043,157,2854.116,2987.143,11.269,3002.05,3009.254,0.0,3002.05,0,2788280,710454,6685888,6685888,698964,673471,9,1,0,1,4.187,3.652,0.034239000000000006,0.010913687866423272
research/transport-memory/capture-results,h2-between-slow,0,1000,2,1,1000,0,16,16,7.350777,65536000,8.50250252456305,368,1.406,10.601,16.999,1.784,12.597000000000001,9.516,26.946,262144,72522444,710454,91505984,63784256,10612397,673487,9,1,0,1,6.579,3.846,1.849582,0.251617209990182
research/transport-memory/capture-results,h2-between-stall,0,100,2,1,0,3000,16,16,3.150565,6553600,1.983771164854558,158,2869.873,3004.405,10.723,0.017,3.139,0.06899999999999999,3005.969,262144,8800569,710454,15484224,11814208,698981,673487,9,1,0,1,4.351,3.844,0.041636,0.013215407395181499
research/transport-memory/capture-results,h2-worker-slow,0,1000,2,2,1000,0,16,16,5.250782,65536000,11.902988926220894,263,0.408,25.477,12.243,0.13699999999999998,26.894000000000002,0.25999999999999995,11.232000000000001,262144,113225134,710454,146540032,52954624,10612414,673487,9,1,0,1,6.503,3.951,2.328111,0.4433836712322088
research/transport-memory/capture-results,h2-worker-stall,0,100,2,2,0,3000,16,16,3.126307,6553600,1.9991638697031353,156,0.235,31.826,56.486,0.103,5.531000000000001,0.163,3004.4080000000004,262144,9022800,710454,17171904,11896256,698981,673487,9,1,0,1,4.102,3.594,0.11605000000000001,0.03712047473264782
research/transport-memory/capture-results,h2-worker-reuse1,0,1000,2,2,100,0,16,1,0.852841,65536000,73.28446920352094,43,3.274,16.617,11.499,0.025,21.333000000000002,0.262,2.301,262144,87811637,710454,118654528,52790848,10612380,673471,9,1,0,1,6.111,3.613,0.8082550000000001,0.9477206184974691
research/transport-memory/capture-results,h2-worker-reuse1,1,1000,2,2,100,0,16,1,0.879746,65536000,71.04323293314206,44,2.483,23.635,12.325,0.029,28.332,0.29300000000000004,1.5070000000000001,262144,102325344,673591,139708032,66635392,10612380,673471,9,0,0,0,0.0,0.0,0.8282939999999999,0.9415149372659835
research/transport-memory/capture-results,h2-worker-reuse1,2,1000,2,2,100,0,16,1,0.861872,65536000,72.51656858559043,42,2.86,8.977,11.91,0.047,20.686,0.9259999999999999,6.167,262144,99560018,673591,139708032,70502080,10612380,673471,9,0,0,0,0.0,0.0,0.8153040000000003,0.9459687749456999
research/transport-memory/capture-results,h2-worker-reuse16,0,1000,2,2,100,0,16,16,0.875964,65536000,71.34996415377802,44,2.5,6.962,12.298,0.122,13.958,0.429,1.645,262144,95714283,710454,122963456,54019584,10612397,673471,9,1,0,1,7.011,4.391,0.836118,0.9545118292532571
research/transport-memory/capture-results,h2-worker-reuse16,1,1000,2,2,100,0,16,16,0.951794,65536000,65.66546962893231,47,5.379,8.517,13.775,0.052,19.699,0.73,11.712,262144,101900446,673591,129091200,75761280,10612397,673471,9,0,0,0,0.0,0.0,0.8236570000000001,0.8653731794905201
research/transport-memory/capture-results,h2-worker-reuse16,2,1000,2,2,100,0,16,16,0.884094,65536000,70.69384024775646,45,0.815,15.037,11.506,0.15,18.139,0.448,1.875,262144,100618603,673591,129091200,77874816,10612397,673471,9,0,0,0,0.0,0.0,0.8531840000000002,0.9650376543670697
research/transport-memory/capture-results,h2-worker-reuse1000,0,1000,2,2,100,0,16,1000,1.016619,65536000,61.47829226091584,50,1.892,2.15,10.873,0.259,15.726,0.374,4.53,262144,87134900,710454,118081088,53872192,10612397,673471,9,1,0,1,6.047,3.67,0.9011739999999999,0.8864422167990171
research/transport-memory/capture-results,h2-worker-reuse1000,1,1000,2,2,100,0,16,1000,0.869691,65536000,71.86460478491786,44,0.975,11.915,12.319,0.024,17.462,0.33799999999999997,2.063,262144,100525199,673591,121489024,59721344,10612397,673471,9,0,0,0,0.0,0.0,0.82578,0.9495096534286315
research/transport-memory/capture-results,h2-worker-reuse1000,2,1000,2,2,100,0,16,1000,0.882172,65536000,70.8478618682071,45,5.349,19.002,11.339,0.034,19.213,0.273,4.503,262144,95083667,673591,121489024,72058496,10612397,673471,9,0,0,0,0.0,0.0,0.843582,0.9562556961680944
research/transport-memory/capture-results,h2-worker-error,0,8,2,2,1000,0,2,16,0.148862,458752,2.9389636038747295,7,0.177,0.177,12.137,0.008,2.094,0.091,1.471,32768,647370,710454,4719872,4687104,89374,673487,9,1,0,1,4.172,3.686,0.010327999999999999,0.06937969394472733
research/transport-memory/capture-boundary-results,h1-callback-stall1000,0,1000,1,0,0,3000,16,16,4.496675,65536000,13.899158822908039,224,2911.999,3126.961,13.634,3005.154,3135.428,0.0,3005.153,0,21974249,155603411,204572224,62277120,67688,2635826,24,1000,0,1000,632.930158,392.97126000000003,1.250657,0.27812928441570717
research/transport-memory/capture-boundary-results,h1-between-stall1000,0,1000,1,1,0,3000,16,16,5.053839,65536000,12.366836379235666,253,2762.245,2998.954,12.01,0.078,260.281,0.124,3011.4649999999997,262144,38392864,155603411,235718400,71911104,67688,2635826,24,1000,0,1000,598.375965,389.217941,1.91627,0.37917116077500684
research/transport-memory/capture-boundary-results,h1-worker-stall1000,0,1000,1,2,0,3000,16,16,4.50596,65536000,13.87051815817273,225,219.598,353.642,23.012,0.073,292.803,0.599,3003.72,262144,38392863,155603411,223184512,64456320,67687,2635826,24,1000,0,1000,674.746792,428.323224,1.836605,0.40759460803025327
research/transport-memory/capture-boundary-results,h1-worker-slots2,0,1000,1,2,1000,0,2,16,6.650091,65536000,9.398367631360232,332,75.483,291.792,12.564,0.08600000000000001,301.664,1.0250000000000001,17.604000000000003,32768,38546889,155603411,227149632,76515136,67689,2635826,24,1000,0,1000,723.721089,445.222689,3.556175,0.5347558401832396
research/transport-memory/capture-boundary-results,h1-worker-slots64,0,1000,1,2,1000,0,64,16,6.542513,65536000,9.55290421280019,327,47.285,275.271,15.11,0.157,282.30899999999997,0.163,11.809,1048576,37930791,155603411,227542656,75630208,67687,2635826,24,1000,0,1000,634.875449,391.896063,3.4531,0.5277941365955253
research/transport-memory/capture-boundary-results,h2-callback-stall1000,0,1000,2,0,0,3000,16,16,3.429694,65536000,18.223200087238105,171,2841.694,2995.21,27.705,3005.264,3018.834,0.0,3005.264,0,36661487,710454,42632320,37700736,10612397,673471,9,1,0,1,6.105,3.873,0.28994600000000004,0.08453990355990944
research/transport-memory/capture-boundary-results,h2-between-stall1000,0,1000,2,1,0,3000,16,16,4.183254,65536000,14.940522378033943,209,2792.427,2987.66,39.553,0.082,58.918,0.804,3005.233,262144,66170076,710454,92259776,61605312,10612397,673471,9,1,0,1,5.842,3.62,0.955243,0.22834927068736444
research/transport-memory/capture-boundary-results,h2-worker-stall1000,0,1000,2,2,0,3000,16,16,3.283212,65536000,19.036236465997323,165,1.443,7.33,17.208,0.036000000000000004,13.166,0.189,3000.868,262144,82797554,710454,119473856,63080128,10612414,673487,9,1,0,1,6.095,3.83,0.872739,0.2658186556335686
research/transport-memory/capture-boundary-results,h2-worker-slots2,0,1000,2,2,1000,0,2,16,5.17016,65536000,12.088600739628948,258,0.425,7.704,12.388,0.051,15.055000000000001,0.623,8.76,32768,110929191,710454,148801280,58836736,10612397,673487,9,1,0,1,5.984,3.744,1.9998520000000002,0.3868065978615749
research/transport-memory/capture-boundary-results,h2-worker-slots64,0,1000,2,2,1000,0,64,16,5.275591,65536000,11.847013917492845,264,0.299,4.176,12.488,0.507,17.458000000000002,0.575,6.113,1048576,110457465,710454,143967744,60392960,10612380,673471,9,1,0,1,6.0,3.591,2.1562970000000004,0.4087308891079692
research/transport-memory/capture-large-results,h1-worker-large-control,0,1000,1,2,0,0,16,16,2.991091,393216000,125.37231398175449,150,107.65,241.588,12.507,2.887,252.80700000000002,0.068,2.9819999999999998,262144,27088057,150796923,215221952,77153984,67687,2635826,24,1000,0,1000,636.082811,427.559898,2.6422399999999997,0.8833699810537359
research/transport-memory/capture-large-results,h1-worker-late-stall,0,1000,1,2,0,3000,16,16,5.679317,393216000,66.02906652331609,284,46.773,249.484,17.608,0.08,259.857,0.16699999999999998,3005.1670000000004,262144,38547887,153587787,222758528,76531328,67687,2635826,24,1000,0,1000,597.7861509999999,390.77127,3.21883,0.5667635738593214
research/transport-memory/capture-large-results,h2-worker-large-control,0,1000,2,2,0,0,16,16,2.94529,393216000,127.3219275521256,147,8.755,21.749,12.817,1.795,23.724999999999998,3.4099999999999997,5.289000000000001,262144,253628334,710454,260474560,83560128,10612399,673471,9,1,0,1,5.828,3.545,2.108278,0.715813383401974
research/transport-memory/capture-large-results,h2-worker-late-stall,0,1000,2,2,0,3000,16,16,5.622762,393216000,66.69320166850385,281,3.376,22.4,12.254,2.911,27.378,2.932,3004.248,262144,248463875,710446,244647808,85804928,10612382,673471,9,1,0,1,9.252,6.598,2.786684,0.49560767466238126
