group,case,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/capture-sanitizer-results,h1-worker-stall,0,100,1,2,0,3000,16,16,3.28964,6553600,1.8999039408567504,165,4.156,45.383,16.772,0.506,57.722,0.40499999999999997,3001.275,262144,3734212,16060211,106216704,106134784,57736,2635826,24,100,0,100,92.70562,55.03581,0.34379799999999994,0.10450930800938703
research/transport-memory/capture-sanitizer-results,h1-worker-error,0,8,1,2,1000,0,2,16,0.158896,458752,2.753373275601651,8,0.454,0.454,11.354,0.014,7.749,0.038,1.608,32768,338984,1795795,36044096,35978560,42661,1458428,15,8,0,8,13.628875,7.700125,0.025726,0.16190464203000704
research/transport-memory/capture-sanitizer-results,h2-worker-stall,0,100,2,2,0,3000,16,16,3.142638,6553600,1.988775035495657,157,0.47,13.647,12.424,0.118,15.503,0.419,3001.6549999999997,262144,11422101,710454,57098496,57016576,698981,673487,9,1,0,1,11.33,10.543,0.190797,0.06071236967159437
research/transport-memory/capture-sanitizer-results,h2-worker-error,0,8,2,2,1000,0,2,16,0.2444,458752,1.7900981996726677,12,23.399,23.399,26.706,0.096,15.807000000000002,0.35100000000000003,35.666999999999994,32768,578711,710454,31915328,31767872,89340,673471,9,1,0,1,7.563,7.067,0.018855999999999998,0.07715220949263502
