group,case,burst,phase,samples,curl_live_sample_max,tls_live_sample_max,app_bytes_sample_max,scratch_bytes_sample_max,physical_sample_max,rss_sample_max,fds_sample_max,curl_peak_cumulative,tls_peak_cumulative,max_physical_cumulative,max_rss_cumulative
research/transport-memory/adjustment-results,h2-recv1k-late,0,retained_idle,1,0,0,0,0,60573248,75595776,3,79767667,710454,107415104,93224960
research/transport-memory/adjustment-results,h2-rate32k-burst,-1,cold,1,0,0,0,0,1524288,2834432,4,0,0,1589824,2834432
research/transport-memory/adjustment-results,h2-rate32k-burst,0,burst_start,1,9792,103552,0,0,2212608,6750208,8,9792,103552,2228992,6750208
research/transport-memory/adjustment-results,h2-rate32k-burst,0,transfer_start,1,3397744,103552,318400,1024000,6619968,11141120,2008,3397744,103552,6619968,11141120
research/transport-memory/adjustment-results,h2-rate32k-burst,0,active,123,46496792,673487,318400,393282076,72172800,83214336,2009,59365794,710454,76481792,83214336
research/transport-memory/adjustment-results,h2-rate32k-burst,0,capture_complete,1,10612416,673487,318400,393216000,63948288,54657024,1009,59365794,710454,76481792,83214336
research/transport-memory/adjustment-results,h2-rate32k-burst,0,validation_delayed,1,10612416,673487,318400,393216000,63948288,54657024,1009,59365794,710454,76481792,83214336
research/transport-memory/adjustment-results,h2-rate32k-burst,0,captures_released,1,10612416,673487,0,0,63948288,54657024,9,59365794,710454,76481792,83214336
research/transport-memory/adjustment-results,h2-rate32k-burst,0,serviced_idle,1,10612416,673487,0,0,63948288,54657024,9,59365794,710454,76481792,83214336
research/transport-memory/adjustment-results,h2-rate32k-burst,0,multi_released,1,0,537905,0,0,42780160,58163200,4,59365794,710454,76481792,83214336
research/transport-memory/adjustment-results,h2-rate32k-burst,0,cleaned,1,0,0,0,0,42780160,58556416,4,59365794,710454,76481792,83214336
research/transport-memory/adjustment-results,h2-rate32k-burst,0,retained_idle,1,0,0,0,0,42780160,58556416,3,59365794,710454,76481792,83214336
research/transport-memory/adjustment-results,h2-rate32k-late,-1,cold,1,0,0,0,0,1524288,2834432,4,0,0,1589824,2834432
research/transport-memory/adjustment-results,h2-rate32k-late,0,burst_start,1,9792,103552,0,0,2376448,6914048,8,9792,103552,2392832,6914048
research/transport-memory/adjustment-results,h2-rate32k-late,0,transfer_start,1,3397744,103552,318400,1024000,6554496,11059200,2008,3397744,103552,6554496,11059200
research/transport-memory/adjustment-results,h2-rate32k-late,0,active,134,57566176,673487,318400,392860121,96601536,142131200,2009,66079855,710454,100763072,142131200
research/transport-memory/adjustment-results,h2-rate32k-late,0,capture_complete,1,10612416,673487,318400,393216000,65013184,142114816,1009,66079855,710454,100763072,142131200
research/transport-memory/adjustment-results,h2-rate32k-late,0,validation_delayed,1,10612416,673487,318400,393216000,65013184,142114816,1009,66079855,710454,100763072,142131200
research/transport-memory/adjustment-results,h2-rate32k-late,0,captures_released,1,10612416,673487,0,0,65013184,142114816,9,66079855,710454,100763072,142131200
research/transport-memory/adjustment-results,h2-rate32k-late,0,serviced_idle,1,10612416,673487,0,0,65013184,142114816,9,66079855,710454,100763072,142131200
research/transport-memory/adjustment-results,h2-rate32k-late,0,multi_released,1,0,537905,0,0,43664832,133742592,4,66079855,710454,100763072,142131200
research/transport-memory/adjustment-results,h2-rate32k-late,0,cleaned,1,0,0,0,0,43484608,125353984,4,66079855,710454,100763072,142131200
research/transport-memory/adjustment-results,h2-rate32k-late,0,retained_idle,1,0,0,0,0,43484608,125353984,3,66079855,710454,100763072,142131200
research/transport-memory/adjustment-results,h2-rate128k-burst,-1,cold,1,0,0,0,0,1540736,2834432,4,0,0,1540736,2834432
research/transport-memory/adjustment-results,h2-rate128k-burst,0,burst_start,1,9792,103552,0,0,2327360,6848512,8,9792,103552,2343744,6848512
research/transport-memory/adjustment-results,h2-rate128k-burst,0,transfer_start,1,3397744,103552,318400,1024000,6718528,11173888,2008,3397744,103552,6718528,11173888
research/transport-memory/adjustment-results,h2-rate128k-burst,0,active,36,36414427,673487,318400,393361408,67192256,93487104,2009,42129685,710454,74433984,93487104
research/transport-memory/adjustment-results,h2-rate128k-burst,0,capture_complete,1,10612399,673487,318400,393216000,57345472,93470720,1009,42129685,710454,74433984,93487104
research/transport-memory/adjustment-results,h2-rate128k-burst,0,validation_delayed,1,10612399,673487,318400,393216000,57345472,93470720,1009,42129685,710454,74433984,93487104
research/transport-memory/adjustment-results,h2-rate128k-burst,0,captures_released,1,10612399,673487,0,0,57345472,93470720,9,42129685,710454,74433984,93487104
research/transport-memory/adjustment-results,h2-rate128k-burst,0,serviced_idle,1,10612399,673487,0,0,57329088,93454336,9,42129685,710454,74433984,93487104
research/transport-memory/adjustment-results,h2-rate128k-burst,0,multi_released,1,0,537905,0,0,38110592,76693504,4,42129685,710454,74433984,93487104
research/transport-memory/adjustment-results,h2-rate128k-burst,0,cleaned,1,0,0,0,0,38110592,76693504,4,42129685,710454,74433984,93487104
research/transport-memory/adjustment-results,h2-rate128k-burst,0,retained_idle,1,0,0,0,0,38110592,76693504,3,42129685,710454,74433984,93487104
research/transport-memory/adjustment-results,h2-rate128k-late,-1,cold,1,0,0,0,0,1524288,2834432,4,0,0,1524288,2834432
research/transport-memory/adjustment-results,h2-rate128k-late,0,burst_start,1,9792,103552,0,0,2360064,6897664,8,9792,103552,2360064,6897664
research/transport-memory/adjustment-results,h2-rate128k-late,0,transfer_start,1,3397744,103552,318400,1024000,6669184,11173888,2008,3397744,103552,6669184,11173888
research/transport-memory/adjustment-results,h2-rate128k-late,0,active,60,59436678,673487,318400,393221120,76727552,143441920,2009,75399470,710454,101582080,143441920
research/transport-memory/adjustment-results,h2-rate128k-late,0,capture_complete,1,10612416,673487,318400,393216000,63915328,105840640,1009,75399470,710454,101582080,143441920
research/transport-memory/adjustment-results,h2-rate128k-late,0,validation_delayed,1,10612416,673487,318400,393216000,63915328,105840640,1009,75399470,710454,101582080,143441920
research/transport-memory/adjustment-results,h2-rate128k-late,0,captures_released,1,10612416,673487,0,0,63915328,105840640,9,75399470,710454,101582080,143441920
research/transport-memory/adjustment-results,h2-rate128k-late,0,serviced_idle,1,10612416,673487,0,0,63915328,105840640,9,75399470,710454,101582080,143441920
research/transport-memory/adjustment-results,h2-rate128k-late,0,multi_released,1,0,537905,0,0,46253376,87654400,4,75399470,710454,101582080,143441920
research/transport-memory/adjustment-results,h2-rate128k-late,0,cleaned,1,0,0,0,0,46253376,88014848,4,75399470,710454,101582080,143441920
research/transport-memory/adjustment-results,h2-rate128k-late,0,retained_idle,1,0,0,0,0,46269760,50216960,3,75399470,710454,101582080,143441920
research/transport-memory/adjustment-results,h2-split10-burst,-1,cold,1,0,0,0,0,1540736,2834432,4,0,0,1540736,2834432
research/transport-memory/adjustment-results,h2-split10-burst,0,burst_start,1,9792,103552,0,0,2310912,6848512,8,9792,103552,2327296,6848512
research/transport-memory/adjustment-results,h2-split10-burst,0,transfer_start,1,3397744,103552,318400,1024000,6538048,11059200,2008,3397744,103552,6538048,11059200
research/transport-memory/adjustment-results,h2-split10-burst,0,active,24,36798075,1877635,318400,382302483,59524352,74547200,2018,41357971,1912244,59786496,74547200
research/transport-memory/adjustment-results,h2-split10-burst,0,capture_complete,1,6721701,1877635,318400,393216000,47039744,74547200,1018,41357971,1912244,59786496,74547200
research/transport-memory/adjustment-results,h2-split10-burst,0,validation_delayed,1,6721701,1877635,318400,393216000,47039744,74547200,1018,41357971,1912244,59786496,74547200
research/transport-memory/adjustment-results,h2-split10-burst,0,captures_released,1,6721701,1877635,0,0,47039744,74547200,18,41357971,1912244,59786496,74547200
research/transport-memory/adjustment-results,h2-split10-burst,0,serviced_idle,1,6721701,1877635,0,0,47039744,74547200,18,41357971,1912244,59786496,74547200
research/transport-memory/adjustment-results,h2-split10-burst,0,multi_released,1,0,538049,0,0,43222272,74563584,4,41357971,1912244,59786496,74563584
research/transport-memory/adjustment-results,h2-split10-burst,0,cleaned,1,0,0,0,0,43222272,74563584,4,41357971,1912244,59786496,74563584
research/transport-memory/adjustment-results,h2-split10-burst,0,retained_idle,1,0,0,0,0,43205888,74547200,3,41357971,1912244,59786496,74563584
research/transport-memory/adjustment-results,h2-split10-late,-1,cold,1,0,0,0,0,1540736,2834432,4,0,0,1540736,2834432
research/transport-memory/adjustment-results,h2-split10-late,0,burst_start,1,9792,103552,0,0,2327424,6832128,8,9792,103552,2343808,6832128
research/transport-memory/adjustment-results,h2-split10-late,0,transfer_start,1,3397744,103552,318400,1024000,6669440,11108352,2008,3397744,103552,6669440,11108352
research/transport-memory/adjustment-results,h2-split10-late,0,active,50,117392188,1877635,318400,372544512,151291584,195264512,2018,126265268,1912244,162547456,195264512
research/transport-memory/adjustment-results,h2-split10-late,0,capture_complete,1,6721701,1877635,318400,393216000,51398400,195641344,1018,126265268,1912244,162547456,195641344
research/transport-memory/adjustment-results,h2-split10-late,0,validation_delayed,1,6721701,1877635,318400,393216000,51398400,195641344,1018,126265268,1912244,162547456,195641344
research/transport-memory/adjustment-results,h2-split10-late,0,captures_released,1,6721701,1877635,0,0,46319360,195641344,18,126265268,1912244,162547456,195641344
research/transport-memory/adjustment-results,h2-split10-late,0,serviced_idle,1,6721701,1877635,0,0,46319360,195641344,18,126265268,1912244,162547456,195641344
research/transport-memory/adjustment-results,h2-split10-late,0,multi_released,1,0,538049,0,0,35817216,187269120,4,126265268,1912244,162547456,195641344
research/transport-memory/adjustment-results,h2-split10-late,0,cleaned,1,0,0,0,0,35604224,187285504,4,126265268,1912244,162547456,195641344
research/transport-memory/adjustment-results,h2-split10-late,0,retained_idle,1,0,0,0,0,35604224,187285504,3,126265268,1912244,162547456,195641344
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,-1,cold,1,0,0,0,0,1458752,2768896,4,0,0,1524288,2768896
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,burst_start,1,9792,103552,0,0,2425792,6930432,8,9792,103552,2425792,6930432
