group,case,upload_buffer,request_base,growth,mixed,link_up_B_s,link_down_B_s,one_way_delay_ms,request_bytes,request_to_response_ratio,upload_peer_complete_seconds,upload_MiB_s,curl_posttransfer_p95_ms,server_request_complete_p95_ms,first_SSE_p95_ms,after_request_first_SSE_p95_ms,last_SSE_capture_p95_ms,overlap_upload_response_ms,staging_seconds,staging_control_p95_ms,staging_control_max_ms,logical_file_written,logical_file_read,os_disk_read,os_disk_written,proxy_forwarded_up_case,proxy_forwarded_down_case,payload,warm,rate,receive_buffer,host_cap,local_stream_cap,server_stream_cap,known_length,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_live_sample_max,tls_live_sample_max,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/asymmetric-sanitizer-results,asymmetric-h1-smoke,16384,1048576,0,1,4194304,67108864,10,4259840,56.09185715790583,1.063493,3.8199593227223874,41.019,1063.493,1332.625,269.132,74.284,732.841,0.010019,0.236,0.236,4335784,8595624,61440,4259840,4279920,114888,9493,0,32768,16384,1,1000,1000,0,0,8,1,2,0,3000,16,16,4.284571,75944,0.01690387258961428,214,1.548,5.518,22.404,0.115,6.883,0.02,3012.652,3509,210791,1589250,210791,1795795,35667200,35126528,44383,1589250,16,8,0,8,30.784375,25.595125,0.163607,0.03818515319270004
research/transport-memory/asymmetric-h2-sanitizer-results,asymmetric-h2-smoke,16384,1048576,0,1,4194304,67108864,10,4259840,56.09185715790583,1.12236,3.6196051177875193,1051.034,1122.36,1385.786,264.812,76.827,793.252,0.014949,0.088,0.088,4335784,8595624,0,4259840,4272587,97082,9493,0,32768,16384,1,1000,1000,0,0,8,2,2,0,3000,16,16,4.339301,75944,0.01669067029117276,217,2.073,7.181,15.2,0.27099999999999996,5.125,0.8019999999999999,3008.835,19584,602513,673487,616350,710454,31653120,31341824,417961,673487,9,1,0,1,28.495,28.036,0.16316799999999998,0.03760236959823713
