group,case,synthetic_tokens_s,tokens_per_event,events_s,delta_event_bytes,content_B_s_per_stream,sse_B_s_per_stream,terminal_body_bytes_per_stream,tls_ciphertext_bytes,terminal_capture_p95_ms,terminal_capture_max_ms,streaming_gap_p95_events,streaming_gap_max_events,fixture_schedule_max_late_ms,payload,warm,rate,receive_buffer,host_cap,local_stream_cap,server_stream_cap,known_length,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_live_sample_max,tls_live_sample_max,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/paced-followup-results,partition-normal100,100,5,20,136,400,2720,4133,33196506,38.302,40.215,2,7,3.62,31333,0,8192,16384,10,100,100,0,0,1000,2,2,0,0,16,16,10.139131,31333000,2.947143828791346,506,1.237,4.464,14.893,0.65,5.689,1.236,23.823,68304,28057250,1877691,28136070,1912284,38389184,38356416,6722131,1877691,18,10,9,1,50.911,4.7791999999999994,7.395682000000001,0.7294197106241156
research/transport-memory/paced-followup-results,partition-fast1000-fine,1000,10,100,156,4000,15600,40133,205469296,1023.328,1025.565,58,87,20.819,196133,0,32768,16384,10,100,100,0,0,1000,2,2,0,0,16,16,11.117979,196133000,16.82383144451946,556,1.168,6.612,16.576,2.074,8.41,7.545999999999999,7.3629999999999995,262144,32024335,1877671,32352321,1912264,49497344,46220544,6722148,1877671,18,10,9,1,42.956,4.2045,13.441059,1.208948047122593
research/transport-memory/paced-followup-results,fast1000-fine-rate32k-stall-repeat2,1000,10,100,156,4000,15600,40133,202199128,1023.382,1025.284,258,299,36.263001,196133,78000,32768,16384,1,1000,1000,0,0,1000,2,2,0,3000,16,16,11.160153,196133000,16.760254514405585,558,1.19,6.782,29.612,0.25,20.174,0.731,3010.059,254598,53311854,673471,53606696,710454,74008064,57296384,10612425,673471,9,1,0,1,6.567,4.078,10.061114,0.9015211529806089
research/transport-memory/paced-followup-results,fast1000-fine-rate32k-stall-repeat3,1000,10,100,156,4000,15600,40133,202437975,1034.03,1096.306,256,297,40.387,196133,78000,32768,16384,1,1000,1000,0,0,1000,2,2,0,3000,16,16,11.237146,196133000,16.645419103721448,561,1.612,6.526,18.556,0.8450000000000001,24.31,0.957,3009.9429999999998,260346,36421307,673471,36661167,710446,58983808,54232448,10612442,673471,9,1,0,1,7.125,4.556,9.979129,0.8880483532028507
research/transport-memory/paced-followup-results,upper2000-rate128k,2000,20,100,196,8000,19600,80133,285565847,147.141,151.754,37,37,4.594,276133,0,131072,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,10.289223,276133000,25.59386165624042,515,0.825,6.065,15.03,0.114,12.425,0.28400000000000003,12.167000000000002,262144,36487669,673471,39646477,710454,59671872,52806976,10612442,673471,9,1,0,1,5.73,3.535,13.024928,1.2658806209176339
