group,case,payload,warm,rate,receive_buffer,host_cap,local_stream_cap,server_stream_cap,known_length,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_live_sample_max,tls_live_sample_max,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,393216,131072,0,16384,1,1000,1000,0,0,1000,2,2,0,3000,16,16,4.917439,393216000,76.25920728248994,246,1.541,7.02,14.983,0.061,14.553,0.265,3003.5460000000003,262144,127446427,673471,135807601,710454,129894016,73549440,10612442,673471,9,1,0,1,5.668,3.43,1.9330399999999999,0.39309892812091823
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,393216,131072,32768,16384,1,1000,1000,0,0,1000,2,2,0,3000,16,16,14.381621,393216000,26.07494662806091,718,0.813,5.773,15.017,0.073,12.559000000000001,0.306,3003.295,262144,56735372,673471,62063066,710454,93980096,58394176,10612442,673471,9,1,0,1,6.051,3.577,2.956081,0.2055457448085998
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,393216,131072,131072,16384,1,1000,1000,0,0,1000,2,2,0,3000,16,16,5.613138,393216000,66.80755042901136,281,1.628,12.239,15.614,0.055,13.213000000000001,0.352,3010.2329999999997,262144,80582526,673471,83564074,710454,108971328,55657920,10612425,673471,9,1,0,1,5.653,3.464,1.9771320000000001,0.3522329221194989
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,393216,131072,0,16384,10,100,1000,0,0,1000,2,2,0,3000,16,16,4.668999,393216000,80.31700156714533,233,1.632,4.04,17.066,0.115,8.565,0.447,3010.184,262144,98257980,1877671,109764274,1912280,130434496,62490176,6722131,1877671,18,10,9,1,45.853,4.8911999999999995,1.787103,0.38275934520440036
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,393216,131072,0,16384,10,100,100,0,0,1000,2,2,0,3000,16,16,4.69081,393216000,79.94354919512834,234,2.002,12.127,16.27,0.182,10.603,0.299,3008.03,262144,146423758,1877527,153292133,1912120,226281024,74450496,6722131,1877527,18,10,9,1,48.1496,5.2936000000000005,1.7948669999999998,0.3826347688352331
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,1572864,131072,0,16384,1,1000,1000,0,0,1000,2,2,0,3000,16,16,6.586065,1572864000,227.75359793746344,329,3.065,7.065,19.634,0.058,13.485000000000001,0.431,3001.629,262144,192289936,673471,195531170,710446,200148736,75974400,10612425,673471,9,1,0,1,5.702,3.464,4.1956690000000005,0.6370524736697862
research/transport-memory/adjustment-unknown-results,h2-long-rate32k-late,1572864,131072,32768,16384,1,1000,1000,0,0,1000,2,2,0,3000,16,16,50.321751,1572864000,29.80818374146003,2515,0.429,3.091,14.937,0.055,12.312999999999999,0.754,3004.206,262144,69121626,673471,71128319,710454,104908160,63260096,10612425,673471,9,1,0,1,5.809,3.417,9.398476,0.18676766633180156
research/transport-memory/adjustment-unknown-results,h2-long-rate128k-late,1572864,131072,131072,16384,1,1000,1000,0,0,1000,2,2,0,3000,16,16,14.643194,1572864000,102.43666784719235,733,1.065,9.592,16.412,0.076,13.089,1.595,3010.196,262144,80345865,673471,102977199,710454,124044928,74811072,10612425,673471,9,1,0,1,5.713,3.505,6.636106,0.4531870574138402
